地区,人口密度(人/平方公里),人均日生活用水量,供水普及率(%),燃气普及率(%),人均道路面积(平方米),排水管道暗渠密度(公里/平方公里),人均公园绿地面积(平方米),绿化覆盖率(%),绿地率(%)
,,,,,,,,,
全国,4947,98.58,81.73,46.44,12.26,6.75,2.37,15.42,8.64
北京,4139,102.31,85.43,57.32,13.92,7.13,5.27,21.97,12.77
天津,4219,88.7,94.93,66.95,16.25,6.45,1.21,18.19,7.46
河北,4582,65.82,81.59,37.44,10.84,2.67,0.52,9.6,4.38
山西,5240,72.98,86.57,14.28,12.48,5.12,0.91,20.17,8.03
内蒙古,3185,75.77,60.38,15.8,10.23,1.99,1.58,9.43,4.46
辽宁,3726,81.34,72.27,29.92,12.24,3.96,1.14,10.62,3.17
吉林,3880,76.1,73.25,20.9,10.83,1.99,0.94,5.45,2.13
黑龙江,3680,66.04,81.83,18.88,15.34,2.14,1.16,5.31,2.32
上海,4914,144.82,91.56,85.39,10.25,4.41,2.13,16.26,10.92
江苏,5714,103.07,96.38,84.73,17.65,9.84,5.84,25.75,18.69
浙江,4925,123.06,78.55,52.62,13.18,6.97,2.29,14.1,9.05
安徽,4933,99.79,68.69,43.94,11.32,6.94,3.28,19.62,11.39
福建,6239,115.13,87.49,62.73,12.59,6.16,7.14,25.18,16.26
江西,5081,111.41,67.62,36.56,10.6,5.51,1.56,9.93,5.35
山东,4335,74.31,90.5,56.67,17.19,7.21,4.64,24.93,15.44
河南,5530,81.5,74.68,7.38,10.46,4.34,1.7,21.6,4.31
湖北,4856,99.2,84.43,40.94,9.88,5.58,0.92,14.74,7.57
湖南,4950,102.1,70.16,33.11,9.05,4.37,0.87,10.8,6.06
广东,5098,140.21,85.93,68.28,13.61,19.77,2.6,15.11,9.71
广西,6997,106.21,85.31,70.22,11.37,7.84,0.43,8.55,4.02
海南,3846,101.08,85.85,75.98,13.47,5.02,2.49,21.22,13.41
重庆,6882,93.98,91.65,53.65,8.24,7.05,0.66,9.11,5.08
四川,5248,92.45,78.49,45.2,9.9,5.6,0.63,7.95,3.84
贵州,5016,91.96,82.62,12.73,8.95,4.14,0.29,10.39,4.04
云南,6001,88.1,83.88,13.58,8.68,4.66,0.82,5.96,3.77
西藏,,,,,,,,,
陕西,4986,57.59,75.92,17.22,9.06,4.35,0.54,7.48,2.94
甘肃,4311,53.91,72.19,5.3,11.65,2.69,0.56,6.75,3.1
青海,4585,73.96,55.37,16.67,9.53,2.28,1.87,10.78,6.27
宁夏,3557,80.61,66.96,21.12,12.89,4.71,0.56,6.26,3.1
新疆,3071,78.92,83.9,14.6,20.89,2.31,1.3,15.41,11.38
